train_number,route_name,train_id,lat,lon,heading,velocity,train_state,status_msg,origin_code,dest_code,num_stations,collection_timestamp
1,Sunset Limited,1-6,32.2352842530484,-107.35911031027972,W,79.6783981323242,Active, ,NOL,LAX,22,2025-08-07 18:12:55
2,Sunset Limited,2-6,31.760264761193085,-106.48931333984592,NE,19.4861907958984,Active, ,LAX,NOL,22,2025-08-07 18:12:55
3,Southwest Chief,3-6,35.15434449351252,-106.6260094735982,S,58.402660369873,Active, ,CHI,LAX,32,2025-08-07 18:12:55
3,Southwest Chief,3-7,41.08316797202651,-90.21062348401216,SW,79.9331665039063,Active, ,CHI,LAX,32,2025-08-07 18:12:55
4,Southwest Chief,4-5,41.75011841884493,-88.32477400698923,NE,41.265251159668,Active, ,LAX,CHI,32,2025-08-07 18:12:55
4,Southwest Chief,4-6,35.38971523801704,-105.32071135128348,E,44.1608390808105,Active, ,LAX,CHI,32,2025-08-07 18:12:55
5,California Zephyr,5-7,40.94588842999047,-90.36201358946748,SW,26.6071090698242,Active, ,CHI,EMY,35,2025-08-07 18:12:55
5,California Zephyr,5-5,38.45893601468657,-121.81311592695567,SW,77.7521514892578,Active, ,CHI,EMY,35,2025-08-07 18:12:55
5,California Zephyr,5-6,39.2697967766526,-108.25891428900566,SW,39.5937614440918,Active, ,CHI,EMY,35,2025-08-07 18:12:55
6,California Zephyr,6-7,39.32903429580018,-120.58901001032628,NE,30.6770896911621,Active, ,EMY,CHI,35,2025-08-07 18:12:55
6,California Zephyr,6-5,41.86358664672129,-87.63712885852463,N,0.0,Completed, ,EMY,CHI,35,2025-08-07 18:12:55
6,California Zephyr,6-6,40.0532252047525,-106.39010903760018,SE,0.0,Active, ,EMY,CHI,35,2025-08-07 18:12:55
7,Empire Builder,7-7,43.04592935528088,-87.99734332074944,NW,35.2814407348633,Active, ,CHI,SEA,40,2025-08-07 18:12:55
7,Empire Builder,7-6,48.59150640144038,-109.1832095653625,W,79.5665588378906,Active, ,CHI,SEA,40,2025-08-07 18:12:55
8,Empire Builder,8-5,42.6223872671567,-87.90525645627373,S,80.1071472167969,Active, ,SEA,CHI,40,2025-08-07 18:12:55
8,Empire Builder,8-6,48.44115780480664,-108.36481182033852,E,80.2190017700195,Active, ,SEA,CHI,40,2025-08-07 18:12:55
11,Coast Starlight,11-7,45.237485605194976,-122.74781716888732,SW,43.7010192871094,Active, ,SEA,LAX,30,2025-08-07 18:12:55
14,Coast Starlight,14-7,34.06080485736482,-118.23631218666064,N,0.0,Predeparture, ,LAX,SEA,29,2025-08-07 18:12:55
14,Coast Starlight,14-6,45.089223554839386,-122.92231667772307,NE,70.3951187133789,Active, ,LAX,SEA,29,2025-08-07 18:12:55
19,Crescent,19-7,38.89962021402569,-77.00461043894917,N,0.0402649194002151,Active, ,NYP,NOL,33,2025-08-07 18:12:55
19,Crescent,19-6,32.12939282568177,-88.8514305511005,S,44.6739273071289,Active, ,NYP,NOL,33,2025-08-07 18:12:55
20,Crescent,20-7,33.26536420140173,-87.07613867213915,NE,68.448127746582,Active, ,NOL,NYP,35,2025-08-07 18:12:55
20,Crescent,20-6,40.73429933203498,-74.16433102949594,E,2.12956690788269,Active, ,NOL,NYP,35,2025-08-07 18:12:55
21,Texas Eagle,21-7,40.5070571021104,-88.98721914745651,SW,14.1983299255371,Active, ,CHI,SAS,29,2025-08-07 18:12:55
21,Texas Eagle,21-6,31.080844546325057,-97.3403167091295,S,13.2476301193237,Active, ,CHI,SAS,29,2025-08-07 18:12:55
22,Texas Eagle,22-7,32.66994671544853,-95.59153705608664,E,75.8756103515625,Active, ,SAS,CHI,29,2025-08-07 18:12:55
40,Floridian,40-7,28.04594751566909,-81.9524568716238,E,0.0581604391336441,Active, ,MIA,CHI,46,2025-08-07 18:12:55
40,Floridian,40-6,39.47941994514727,-77.96442675324056,NE,45.8460845947266,Active, ,MIA,CHI,46,2025-08-07 18:12:55
41,Floridian,41-5,26.814343633143565,-80.15999110217825,SE,22.3179512023926,Active, ,CHI,MIA,46,2025-08-07 18:12:55
41,Floridian,41-6,36.45697366108117,-77.55948870528876,SW,78.0110473632813,Active, ,CHI,MIA,46,2025-08-07 18:12:55
43,Pennsylvanian,43-7,40.36618079420281,-78.85613546500153,SE,35.5941886901855,Active, ,NYP,PGH,16,2025-08-07 18:12:55
48,Lake Shore Limited,48-6,41.0777976395749,-73.86500691856787,S,43.8059959411621,Active, ,CHI,NYP,20,2025-08-07 18:12:55
49,Lake Shore Limited,49-7,42.60563378082675,-73.74936824597818,N,80.9705200195313,Active, ,NYP,CHI,20,2025-08-07 18:12:55
52,Auto Train,52-7,30.29457857954265,-81.72064536138045,N,27.1542148590088,Active, ,SFA,LOR,2,2025-08-07 18:12:55
53,Auto Train,53-7,38.436252645659096,-77.34052512725805,SW,52.3645286560059,Active, ,LOR,SFA,2,2025-08-07 18:12:55
55,Vermonter,55-7,40.9680297093528,-73.71833938474191,SW,70.0922775268555,Active, ,SAB,WAS,29,2025-08-07 18:12:55
56,Vermonter,56-7,43.51658751844179,-72.40063587011528,N,38.8198585510254,Active, ,WAS,SAB,29,2025-08-07 18:12:55
58,City of New Orleans,58-7,31.897874927627548,-90.3995342957988,N,79.3615036010742,Active, ,NOL,CHI,20,2025-08-07 18:12:55
63,Maple Leaf,63-7,43.10896007221984,-79.06466998367628,W,0.136701598763466,Active, ,NYP,TRTO,18,2025-08-07 18:12:55
64,Maple Leaf,64-7,42.653214509072,-73.7393584808913,SE,15.5377855300903,Active, ,TRTO,NYP,18,2025-08-07 18:12:55
66,Northeast Regional,66-7,37.59393292148824,-79.01468940969573,NE,63.0280227661133,Active, ,RNK,BOS,26,2025-08-07 18:12:55
68,Adirondack,68-7,43.210953873252606,-73.63263851276338,SW,19.0117530822754,Active, ,MTRL,NYP,18,2025-08-07 18:12:55
69,Adirondack,69-7,45.02001716552945,-73.36708221865858,N,2.92144370079041,Active, ,NYP,MTRL,18,2025-08-07 18:12:55
76,Piedmont,76-7,35.87896670328123,-80.09767456354211,E,77.410400390625,Active, ,CLT,RGH,6,2025-08-07 18:12:55
77,Piedmont,77-7,35.34578633462473,-80.59786541911119,SW,68.6552810668945,Active, ,RGH,CLT,8,2025-08-07 18:12:55
79,Carolinian,79-7,35.7758478365891,-78.64666246201959,N,0.0111846998333931,Active, ,NYP,CLT,24,2025-08-07 18:12:55
80,Carolinian,80-7,39.30150629710437,-76.56624057572228,SE,66.7323913574219,Active, ,CLT,NYP,24,2025-08-07 18:12:55
85,Northeast Regional,85-7,39.29791666723986,-76.54323794430144,W,48.3827743530273,Active, ,BOS,RVM,27,2025-08-07 18:12:55
89,Palmetto,89-7,34.67432322615118,-79.19859586071773,SW,50.1946983337402,Active, ,NYP,SAV,22,2025-08-07 18:12:55
90,Palmetto,90-7,38.38478473737831,-77.38907860621381,NE,63.1577644348145,Active, ,SAV,NYP,23,2025-08-07 18:12:55
93,Northeast Regional,93-7,38.899299778953065,-77.00482406199612,S,5.90775871276855,Active, ,BOS,NFK,29,2025-08-07 18:12:55
94,Northeast Regional,94-7,40.747093836670494,-73.93317556026189,E,37.710334777832,Active, ,NFK,BOS,28,2025-08-07 18:12:55
95,Northeast Regional,95-7,37.23093012761184,-77.43464892640908,S,12.8445091247559,Active, ,BOS,NFK,25,2025-08-07 18:12:55
97,Silver Meteor,97-7,39.3068506874286,-76.61317662574079,N,0.0156585797667503,Active, ,NYP,MIA,33,2025-08-07 18:12:55
97,Silver Meteor,97-6,26.451224418702157,-80.09100608679648,S,21.3130207061768,Active, ,NYP,MIA,33,2025-08-07 18:12:55
98,Silver Meteor,98-7,30.82257475654773,-82.00548128036398,N,58.8002052307129,Active, ,MIA,NYP,33,2025-08-07 18:12:55
125,Northeast Regional,125-7,37.76004781987092,-77.48095176679867,N,0.0089477598667144,Active, ,SPG,NPN,33,2025-08-07 18:12:55
129,Northeast Regional,129-7,39.95777555265503,-75.18150507294601,S,12.2382984161377,Active, ,NYP,WAS,10,2025-08-07 18:12:55
136,Northeast Regional,136-7,39.43799620445832,-76.24099176417539,NE,124.183723449707,Active, ,WAS,SPG,23,2025-08-07 18:12:55
138,Northeast Regional,138-7,38.89934174095842,-77.00490798602483,N,0.145401105284691,Active, ,NFK,NYP,21,2025-08-07 18:12:55
148,Northeast Regional,148-7,40.70456375928474,-74.19061430008988,N,0.0223693996667862,Active, ,WAS,SPG,24,2025-08-07 18:12:55
171,Northeast Regional,171-7,38.71739588292156,-77.54684692430133,SW,73.8794174194336,Active, ,BOS,RNK,27,2025-08-07 18:12:55
173,Northeast Regional,173-7,39.73864784056503,-75.55513188671651,NW,25.4762096405029,Active, ,BOS,WAS,19,2025-08-07 18:12:55
174,Northeast Regional,174-7,41.54111949371868,-71.51132271264258,N,118.853096008301,Active, ,NPN,BOS,32,2025-08-07 18:12:55
175,Northeast Regional,175-7,41.30114824051927,-72.9235774907571,S,18.0197601318359,Active, ,BOS,WAS,19,2025-08-07 18:12:55
176,Northeast Regional,176-7,40.03031585558269,-75.02758199358414,NE,105.0,Active, ,WAS,BOS,22,2025-08-07 18:12:55
177,Northeast Regional,177-7,42.34856767127569,-71.05639058924557,N,0.0,Predeparture, ,BOS,PHL,20,2025-08-07 18:12:55
178,Northeast Regional,178-7,39.95710798054997,-75.18074213266382,N,0.0,Active, ,WAS,BOS,22,2025-08-07 18:12:55
184,Northeast Regional,184-7,41.04694055787747,-73.54163492572766,NE,0.0201324597001076,Active, ,WAS,BOS,20,2025-08-07 18:12:55
186,Northeast Regional,186-7,37.88884728611816,-77.46214531048113,N,42.3339996337891,Active, ,NPN,NYP,18,2025-08-07 18:12:55
193,Vermonter,193-7,40.55671750391359,-74.34250032561961,SW,67.2379455566406,Active, ,NYP,WAS,12,2025-08-07 18:12:55
196,Northeast Regional,196-7,39.19225185743368,-76.69457720614315,NE,0.0,Active, ,WAS,NYP,7,2025-08-07 18:12:55
197,Northeast Regional,197-7,40.75246326445101,-73.99794244833376,N,0.0,Predeparture, ,NYP,WAS,9,2025-08-07 18:12:55
237,Empire Service,237-7,41.6988876916769,-73.93795162197549,N,61.403881072998,Active, ,NYP,ALB,6,2025-08-07 18:12:55
239,Empire Service,239-7,40.8842856368928,-73.92182302595768,N,29.2099628448486,Active, ,NYP,ALB,6,2025-08-07 18:12:55
244,Empire Service,244-7,41.63827595484209,-73.94465785827599,S,74.3335189819336,Active, ,ALB,NYP,6,2025-08-07 18:12:55
281,Empire Service,281-7,43.16392611927751,-77.60844698894002,SW,2.82301831245422,Active, ,NYP,NFL,15,2025-08-07 18:12:55
283,Empire Service,283-7,43.18600186857856,-75.36922660151836,NW,74.0427169799805,Active, ,NYP,NFL,16,2025-08-07 18:12:55
291,Ethan Allen Express,291-7,43.08226121602219,-73.8105865601708,N,0.0223693996667862,Active, ,NYP,BTN,15,2025-08-07 18:12:55
305,Lincoln Service,305-7,41.87900785324407,-87.6393057527007,N,0.0,Predeparture, ,CHI,STL,11,2025-08-07 18:12:55
